fecha;rainfall;corrida
29/5/2021;42,13;3
10/6/2021;31,47;3
22/6/2021;31,47;3
4/7/2021;33,13;3
16/7/2021;33,13;3
28/7/2021;33,13;3
9/8/2021;18,4;3
21/8/2021;18,4;3
2/9/2021;29,27;3
14/9/2021;29,27;3
26/9/2021;29,27;3
20/10/2021;104,23;3
1/11/2021;93,8;3
